#4H_up	4H_p
0	0
0.5838	16.525
0.5996	17.0359
0.6153	17.5468
0.6309	18.0577
0.6466	18.5686
0.6622	19.0795
0.6778	19.5904
0.6934	20.1013
0.7089	20.6122
0.7244	21.1231
0.7399	21.634
0.7553	22.1449
0.7707	22.6558
0.7861	23.1667
0.8015	23.6776
0.8168	24.1885
0.8321	24.6994
0.8474	25.2103
0.8626	25.7212
0.8778	26.2321
0.893	26.743
0.9081	27.2539
0.9232	27.7648
0.9383	28.2757
0.9534	28.7866
0.9684	29.2975
0.9834	29.8084
0.9984	30.3193
1.0133	30.8302
1.0282	31.3411
1.0431	31.852
1.0579	32.3629
1.0727	32.8738
1.0875	33.3847
1.1023	33.8956
1.117	34.4065
1.1317	34.9174
1.1464	35.4283
1.161	35.9392
1.1756	36.4501
1.1902	36.961
1.2047	37.4719
1.2193	37.9828
1.2337	38.4937
1.2482	39.0046
1.2626	39.5155
1.277	40.0264
1.2914	40.5373
1.3057	41.0482
1.32	41.5591
1.3343	42.07
1.3486	42.5809
1.3628	43.0918
1.377	43.6027
1.3911	44.1136
1.4052	44.6245
1.4193	45.1354
1.4334	45.6463
1.4475	46.1572
1.4615	46.6681
1.4754	47.179
1.4894	47.6899
1.5033	48.2008
1.5172	48.7117
1.5311	49.2226
1.5449	49.7335
1.5587	50.2444
1.5724	50.7553
1.5862	51.2662
1.5999	51.7771
1.6136	52.288
1.6272	52.7989
1.6408	53.3098
1.6544	53.8207
1.668	54.3316
1.6815	54.8425
1.695	55.3534
1.7085	55.8643
1.7219	56.3752
1.7353	56.8861
1.7487	57.397
1.7621	57.9079
1.7754	58.4188
1.7887	58.9297
1.8019	59.4406
1.8152	59.9515
1.8284	60.4624
1.8416	60.9733
1.8547	61.4842
1.8678	61.9951
1.8809	62.506
1.8939	63.0169
1.907	63.5278
1.9199	64.0387
1.9329	64.5496
1.9458	65.0605
1.9587	65.5714
1.9716	66.0823
1.9845	66.5932
1.9973	67.1041
2.0101	67.6149
2.0228	68.1258
2.0355	68.6367
2.0482	69.1476
2.0609	69.6585
2.0735	70.1694
2.0861	70.6803
2.0987	71.1912
2.1112	71.7021
2.1237	72.213
2.1362	72.7239
2.1487	73.2348
2.1611	73.7457
2.1735	74.2566
2.1859	74.7675
2.1982	75.2784
2.2105	75.7893
2.2228	76.3002
2.235	76.8111
2.2472	77.322
2.2594	77.8329
2.2716	78.3438
2.2837	78.8547
2.2958	79.3656
2.3079	79.8765
2.3199	80.3874
2.3319	80.8983
2.3439	81.4092
2.3558	81.9201
2.3677	82.431
2.3796	82.9419
2.3915	83.4528
2.4033	83.9637
2.4151	84.4746
2.4269	84.9855
2.4386	85.4964
2.4503	86.0073
2.462	86.5182
2.4736	87.0291
2.4852	87.54
2.4968	88.0509
2.5084	88.5618
2.5199	89.0727
2.5314	89.5836
2.5429	90.0945
2.5543	90.6054
2.5657	91.1163
2.5771	91.6272
2.5884	92.1381
2.5998	92.649
2.611	93.1599
2.6223	93.6708
2.6335	94.1817
2.6447	94.6926
2.6559	95.2035
2.667	95.7144
2.6781	96.2253
2.6892	96.7362
2.7003	97.2471
2.7113	97.758
2.7223	98.2689
2.7332	98.7798
2.7442	99.2907
2.7551	99.8016
2.7659	100.3125
2.7768	100.8234
2.7876	101.3343
2.7984	101.8452
2.8091	102.3561
2.8198	102.867
2.8305	103.3779
2.8412	103.8888
2.8518	104.3997
2.8624	104.9106
2.873	105.4215
2.8835	105.9324
2.894	106.4433
2.9045	106.9542
2.9149	107.4651
2.9254	107.976
2.9358	108.4869
2.9461	108.9978
2.9564	109.5087
2.9667	110.0196
2.977	110.5305
2.9873	111.0414
2.9975	111.5523
3.0076	112.0632
3.0178	112.5741
3.0279	113.085
3.038	113.5959
3.0481	114.1068
3.0581	114.6177
3.0681	115.1286
3.0781	115.6395
3.088	116.1504
3.0979	116.6613
3.1078	117.1722
3.1177	117.6831
3.1275	118.194
