#B1_up	B1_p
3.3356	95.6494
3.3461	96.1811
3.3566	96.7128
3.3671	97.2445
3.3776	97.7762
3.388	98.3079
3.3985	98.8396
3.4089	99.3714
3.4193	99.9031
3.4297	100.4348
3.4402	100.9665
3.4505	101.4982
3.4609	102.0299
3.4713	102.5616
3.4817	103.0933
3.492	103.625
3.5024	104.1567
3.5127	104.6884
3.523	105.2201
3.5333	105.7519
3.5436	106.2836
3.5539	106.8153
3.5642	107.347
3.5744	107.8787
3.5847	108.4104
3.5949	108.9421
3.6052	109.4738
3.6154	110.0055
3.6256	110.5372
3.6358	111.0689
3.646	111.6006
3.6561	112.1323
3.6663	112.6641
3.6765	113.1958
3.6866	113.7275
3.6967	114.2592
3.7069	114.7909
3.717	115.3226
3.7271	115.8543
3.7372	116.386
3.7472	116.9177
3.7573	117.4494
3.7674	117.9811
3.7774	118.5128
3.7874	119.0445
3.7975	119.5763
3.8075	120.108
3.8175	120.6397
3.8275	121.1714
3.8374	121.7031
3.8474	122.2348
3.8574	122.7665
3.8673	123.2982
3.8772	123.8299
3.8872	124.3616
3.8971	124.8933
3.907	125.425
3.9169	125.9567
3.9267	126.4885
3.9366	127.0202
3.9465	127.5519
3.9563	128.0836
3.9662	128.6153
3.976	129.147
3.9858	129.6787
3.9956	130.2104
4.0054	130.7421
4.0152	131.2738
4.0249	131.8055
4.0347	132.3372
4.0444	132.8689
4.0542	133.4007
4.0639	133.9324
4.0736	134.4641
4.0833	134.9958
4.093	135.5275
4.1027	136.0592
4.1124	136.5909
4.122	137.1226
4.1317	137.6543
4.1413	138.186
4.151	138.7177
4.1606	139.2494
4.1702	139.7811
4.1798	140.3128
4.1894	140.8445
4.1989	141.3763
4.2085	141.908
4.218	142.4397
4.2276	142.9714
4.2371	143.5031
4.2466	144.0348
4.2561	144.5665
4.2656	145.0982
4.2751	145.6299
4.2846	146.1616
4.2941	146.6933
4.3035	147.2251
4.313	147.7568
4.3224	148.2885
4.3318	148.8202
4.3412	149.3519
4.3506	149.8836
4.36	150.4153
4.3694	150.947
4.3787	151.4787
4.3881	152.0104
4.3974	152.5421
4.4068	153.0738
4.4161	153.6055
4.4254	154.1372
4.4347	154.6689
4.444	155.2007
4.4533	155.7324
4.4625	156.2641
4.4718	156.7958
4.481	157.3275
4.4903	157.8592
4.4995	158.3909
4.5087	158.9226
4.5179	159.4543
4.5271	159.986
4.5363	160.5177
4.5454	161.0495
4.5546	161.5812
4.5637	162.1129
4.5729	162.6446
4.582	163.1763
4.5911	163.708
4.6002	164.2397
4.6093	164.7714
4.6184	165.3031
4.6275	165.8348
4.6365	166.3665
4.6456	166.8982
4.6546	167.4299
4.6636	167.9616
4.6726	168.4933
4.6816	169.0251
4.6906	169.5568
4.6996	170.0885
4.7086	170.6202
4.7175	171.1519
4.7265	171.6836
4.7354	172.2153
4.7444	172.747
4.7533	173.2787
4.7622	173.8104
4.7711	174.3421
4.7799	174.8739
4.7888	175.4056
4.7977	175.9373
4.8065	176.469
4.8154	177.0007
4.8242	177.5324
4.833	178.0641
4.8418	178.5958
4.8506	179.1275
4.8594	179.6592
4.8682	180.1909
4.8769	180.7226
4.8857	181.2543
4.8944	181.786
4.9032	182.3177
4.9119	182.8495
4.9206	183.3812
4.9293	183.9129
4.938	184.4446
4.9466	184.9763
4.9553	185.508
4.964	186.0397
4.9726	186.5714
4.9812	187.1031
4.9898	187.6348
4.9985	188.1665
5.0071	188.6983
5.0156	189.23
5.0242	189.7617
5.0328	190.2934
5.0413	190.8251
5.0499	191.3568
5.0584	191.8885
